"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
350881,"IN-0306","heliport","Khalatse Zerthang Heliport",34.31879,76.90241,9829,"AS","IN","IN-LA","Khalatse","no",,,,,,,"Khalsi, Khaltse"
350890,"IN-0307","small_airport","Tuting Advanced Landing Ground",28.98876,94.89863,1562,"AS","IN","IN-AR","Tuting","no",,,"VETU",,,"https://en.wikipedia.org/wiki/Tuting_Advanced_Landing_Ground","Tuting Airport and Heliport"
354546,"IN-0308","medium_airport","Itanagar Donyi Polo Hollongi Airport",26.96683,93.638792,328,"AS","IN","IN-AR","Hollongi","yes","VEHO","HGI","VEHO",,,"https://en.wikipedia.org/wiki/Itanagar_Airport",
355261,"IN-0309","heliport","HeliTaxii Heliport",12.84305,77.668188,3005,"AS","IN","IN-KA","Bengaluru","no",,,,,,,
355262,"IN-0310","heliport","Chandimandir Helipad",30.73473,76.88139,1410,"AS","IN","IN-HR","Panchkula","no",,,,,,,
355263,"IN-0311","heliport","Pilani Helipad",28.349677,75.591104,974,"AS","IN","IN-RJ","Pilani","no",,,,,,,
355265,"IN-0312","heliport","ICAT Helipad",28.36925,76.87712,790,"AS","IN","IN-HR","Gurugram","no",,,,,,,
355266,"IN-0313","heliport","EON Helipad",18.545464,73.96432,1774,"AS","IN","IN-MM","Pune","no",,,,,,,
355267,"IN-0314","heliport","Ganga Helipad",11.09489,76.95603,1417,"AS","IN","IN-TN","Coimbatore","no",,,,,,,
355268,"IN-0315","heliport","RPSCL Private Helipad",27.83428,79.92742,501,"AS","IN","IN-UP","Shahjahanpur","no",,,,,,,
355270,"IN-0316","heliport","Varanasi Police Line Helipad",25.34819,82.98752,255,"AS","IN","IN-UP","Varanasi","no",,,,,,,
356024,"IN-0317","heliport","Kiari Heliport",33.47621,78.12866,12641,"AS","IN","IN-LA","Kiari","no",,,,,,,
356025,"IN-0318","heliport","Chumathang Heliport",33.36284,78.31326,13402,"AS","IN","IN-LA","Chumathang","no",,,,,,,
356026,"IN-0319","heliport","Karu Heliport",33.91257,77.74465,10961,"AS","IN","IN-LA","Karu","no",,,,,,,
356027,"IN-0320","heliport","Upshi Heliport",33.82395,77.82194,11187,"AS","IN","IN-LA","Upshi","no",,,,,,,
356104,"IN-0321","heliport","Jhakri SJVN Heliport",31.4899,77.70754,4420,"AS","IN","IN-HP","Shimla","no",,,,,,,
356105,"IN-0322","heliport","Rampur Bushahr Heliport",31.41727,77.62826,4111,"AS","IN","IN-HP","Shimla","no",,,,,,,
356106,"IN-0323","heliport","Tharu Heliport",31.3337,77.55919,6943,"AS","IN","IN-HP","Shimla","no",,,,,,,
356107,"IN-0324","heliport","Bithal Heliport",31.3534,77.49121,2874,"AS","IN","IN-HP","Shimla","no",,,,,,,
356109,"IN-0325","heliport","Kumharsain Heliport",31.33025,77.44237,4475,"AS","IN","IN-HP","Shimla","no",,,,,,,
356110,"IN-0326","heliport","Kalpa Heliport",31.5392,78.2723,7615,"AS","IN","IN-HP","Kalpa","no",,,,,,,
